gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Electronic check,PaymentMethod_Mailed check,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),TenureBins,CommunicationType,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,TotalInternetServices,Churn
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.5129221364298944,-1.1140535127447795,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.5003970418060546,-1.8936652123288982,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,-0.14168635703108415,0.7947742406421747,0,1,0,1,1,0,1,0,1,0,0,1,2,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,-0.15161650839679405,0.6415748317505957,0,1,1,1,0,1,1,0,1,0,0,0,3,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,-0.29435473168473864,0.08951392899044144,0,0,0,1,0,1,1,0,0,0,0,1,2,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.1383207127835429,1.0934059551712314,0,1,1,1,1,0,1,0,0,1,1,1,3,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.1463706593946839,-1.7898349711098056,0,1,1,0,0,0,1,0,0,0,0,0,1,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.846995507562983,1.4050647606678717,0,1,0,1,1,1,1,1,1,1,1,1,6,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.016720546225468563,-0.1567009557307542,0,0,1,1,0,0,0,0,0,1,1,1,2,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.042502527420751,1.4723180579975106,1,1,0,1,1,1,1,1,1,0,0,1,4,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0153149247686561,-1.1619599037504231,1,1,0,1,0,0,0,1,0,1,1,1,3,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.06440295821460565,0.24836891168150615,0,1,1,1,0,1,1,1,1,0,0,0,4,0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.4986089893187626,-1.8930654164431955,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-0.6312208655393579,-1.6735740801304515,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.1558644106646994,1.550472820835712,0,1,1,1,1,1,1,0,1,1,0,0,4,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.18082754151475303,-0.8986081303724791,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.34734157572687996,0.8063710974235073,0,0,0,1,0,0,0,1,0,0,0,1,1,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.3610913426681968,0.8066249399329198,0,0,0,1,1,0,1,1,0,1,1,1,4,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0904382851198113,-0.14885580981674812,0,0,0,1,1,0,0,1,0,1,1,1,3,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-0.4864922638120739,-0.6808735698918813,0,1,1,1,0,0,1,0,0,0,0,0,1,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.16445615488950618,1.1196690393311983,0,1,1,1,1,1,1,0,0,1,0,1,3,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.47896065668675,-0.7523601054306942,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.5114145296930672,1.117365456788396,0,0,0,1,1,1,1,1,1,1,0,1,5,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.39290530614612423,-0.23109274387166495,0,1,0,1,1,1,1,0,1,1,0,1,4,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.661826751549728,0.8987514710965235,0,0,0,1,1,0,0,0,0,0,1,1,1,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-0.49655940189287623,-1.4163346896675988,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.537336130063214,-1.260624131982317,0,0,0,1,0,0,0,0,0,1,0,1,1,1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.5081730103481974,0.973965358397764,0,0,0,1,1,1,0,0,1,1,1,1,4,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,-0.0013859978761533956,0.9824701883115282,0,1,1,1,1,1,0,1,1,0,0,1,3,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.846995507562983,0.8817351448562203,1,0,0,1,1,0,1,0,0,1,0,1,2,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.1303439750235487,0.03616328290513831,0,0,0,1,0,1,1,0,0,1,1,1,4,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.1742800093768861,0.19478191585125032,1,1,0,1,1,1,0,0,1,1,0,1,3,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.537336130063214,-0.5131443755028964,1,1,0,1,1,0,1,0,0,0,0,1,1,1
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.3489699082805497,1.0288940019985255,1,1,1,1,0,1,1,1,1,0,1,1,5,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0137151084110478,0.19473680012021602,1,0,0,1,1,0,0,0,0,1,1,1,2,1
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,1.147890874439329,1.3949495018002949,0,1,1,1,1,1,0,0,0,1,1,1,3,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.4277117366294445,1.5226626100585725,1,1,1,1,1,0,1,1,1,1,1,1,5,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,-1.3300540335211335,-0.29365707454212886,0,1,1,1,1,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.3975856622838418,1.6423038144386868,0,0,0,1,1,0,0,1,1,1,1,1,4,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.174994992802673,1.0843261862681188,0,1,0,1,1,0,0,1,0,1,1,1,3,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.8357493754416407,1.2367554460518952,0,0,0,1,1,0,1,0,0,1,0,1,2,0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,-0.737866626813758,0.63904115159523,0,1,0,0,0,1,1,1,0,0,0,0,3,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,-0.32432955030581295,-0.24814410974766882,0,1,1,1,0,0,0,1,1,0,0,1,2,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.9801048591105764,-0.32163156492747386,0,0,0,1,1,0,0,0,0,1,1,0,2,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.3636213648423372,-1.0268792929444142,0,0,0,1,0,0,1,0,1,1,1,1,4,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.48060816677313895,0.8333554086355142,0,1,0,1,1,0,1,0,0,0,0,1,1,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.49033937968331914,0.48788688873505065,0,0,0,1,0,0,1,1,1,1,1,0,5,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,-1.5003970418060546,-0.2668543389185339,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.5114145296930672,-0.2988382490199403,0,0,0,1,0,1,0,1,0,0,0,1,2,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-0.5032732753770416,-1.6488019096392172,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,-1.491459864715862,-0.1582714224025568,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.5274672281321362,1.5262834452130396,1,1,1,1,1,1,0,1,1,1,1,1,5,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,-1.3547407765539616,0.0352166184990953,0,1,1,1,1,0,0,0,0,0,0,1,0,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.010137639716155802,-1.1723383491493042,0,0,1,1,0,1,0,0,1,0,1,1,3,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.4926555327956559,1.3647242739070662,1,0,0,1,1,1,1,1,0,1,1,0,5,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,-0.28270737808225693,0.5525508164235753,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-0.3159996530430303,-0.6731372019268667,0,1,1,1,0,1,1,0,0,0,0,0,2,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.34571316438222227,0.3455787577568495,1,0,0,1,0,1,1,0,0,1,1,1,4,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,-1.2966283968365377,-0.08071646203471078,0,1,1,1,1,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.4952039842970836,-1.4892638872214126,0,0,1,1,0,0,0,0,0,1,0,1,1,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,-0.45296662683034783,-0.5811599597091551,0,1,1,0,0,1,0,0,0,1,1,0,3,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.3587382521083351,-0.6561115598241672,0,1,0,1,0,0,0,1,0,0,0,1,1,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.2800663337975748,0.9995039672110844,0,0,0,1,0,0,1,1,1,1,1,1,5,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,-1.5003970418060546,-0.23672966650378777,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.1367254819622787,-0.2756638721609653,0,0,0,1,1,0,1,0,0,1,1,1,3,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,-0.06732329133334465,0.3857718315037696,0,1,0,1,0,1,0,0,0,1,0,1,2,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,-1.4825303431135377,-0.18011092696710496,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,-1.5075523606506518,-0.2696003682739013,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,-1.0234726892535657,-0.2120050269451277,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.5826542339218063,0.5129382096401848,0,1,1,1,0,0,1,1,0,0,0,0,2,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.3440846741907523,-1.5104406218213062,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,0.6456827655440831,1.287065067402154,0,1,1,1,1,1,0,1,1,1,1,1,5,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,1.5100645140376392,1.527560277021233,0,0,0,1,1,1,1,1,0,1,1,1,5,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.1877441034214031,1.5827210088091774,0,0,0,1,1,0,1,1,0,1,1,1,4,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.4822302214493739,-0.2694194520718393,0,0,0,1,1,1,0,0,0,0,0,1,1,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.08739493384293977,1.093309104245792,0,1,1,1,1,1,1,0,1,0,0,1,3,0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.468258796063726,-1.3553277602660623,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,-1.470041693926249,-0.14771318098772646,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.1111938340684542,0.4938723760060738,1,1,0,1,0,0,1,1,0,1,1,1,4,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.4986089893187626,-1.8930654164431955,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.5254627012971629,-1.9021750612374575,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.9993140194523933,0.8215923758849678,0,0,0,1,1,0,0,1,1,1,0,0,3,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,-0.6210924769836059,0.6588192344063607,1,1,0,0,0,0,1,1,0,1,0,0,3,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.4768237198578744,1.6060617370681383,0,1,0,1,1,0,1,1,1,1,1,1,5,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.3529757886792,-1.4041799752237145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.2911958997498911,1.5585222089026838,0,1,1,1,1,1,1,0,0,1,1,1,4,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,-1.1481086926375406,-0.26920240039052373,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.9785036964569619,0.902378937323136,0,0,0,1,1,0,0,0,0,1,1,0,2,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,-1.5272554898981345,0.0024068049727488695,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.055290659990974,1.1949983005846074,0,1,0,1,1,1,1,0,0,1,0,1,3,1
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,-0.20629733149405932,0.6633210974028032,0,0,0,1,0,1,0,1,1,0,0,0,3,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.8919485278958789,0.9104918868155676,0,0,0,1,0,0,1,1,0,1,0,1,3,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.40266104173549006,0.6100187653499585,1,1,0,1,1,0,0,0,0,0,0,1,0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,-0.31766541251023167,0.7725762726830808,0,1,1,0,0,0,1,0,1,1,1,1,4,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.8341425261130828,-1.0185665407127606,0,1,1,1,0,1,1,0,0,1,0,0,3,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,-1.116855069525127,-0.13564140898868282,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.167024927840454,-0.17510109933258494,0,1,1,1,1,1,0,0,0,1,1,1,3,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,-1.4825303431135377,-0.33874783816000376,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.6844167096228976,0.361302092511815,0,1,1,1,1,0,1,0,1,0,0,1,2,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.1526751702762843,1.2492803189295902,0,1,1,1,1,0,0,1,0,1,1,1,3,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.480745349064893,-1.3590996393796433,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.3343120741231109,-1.0558365217217525,0,0,0,1,1,0,0,0,0,0,0,1,0,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-0.4479419174657243,-0.8469327329431647,0,1,1,1,0,1,0,0,0,0,0,0,1,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.475392173968289,-1.5688940559099953,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.8052081079194322,0.6589394988006547,0,0,0,1,0,1,0,0,1,1,0,1,3,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.4530218039177464,0.35504700729604416,1,0,0,1,1,0,0,1,0,0,0,1,1,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,-1.3794777795261872,0.18175452088855118,0,1,0,1,1,0,0,0,0,0,0,1,0,0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.5147126920136147,-1.898501897977466,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,-0.25610461691274733,0.9181750938582296,1,0,0,0,0,1,1,0,0,1,1,1,4,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.7086053110260209,-0.08127861033812202,0,0,0,1,1,0,0,0,0,0,1,1,1,0
